,Timestamp,YEAR,DOY,HR,Scalar_B,BX_GSE_GSM,BY_GSE,BZ_GSE,BY_GSM,BZ_GSM,Proton_Density,SW_Plasma_Temperature,SW_Plasma_Speed,Dst-index
0,1999-1-0,1999,1,0,6.792,-1.686,2.71,5.118,1.284,5.65,6.07,81042.0,415.28,-7.0
1,1999-1-1,1999,1,1,6.884,-4.513,0.39,3.24,-0.361,3.255,7.027,90525.0,400.5,-4.0
2,1999-1-2,1999,1,2,7.073,-3.813,-0.826,4.949,-1.808,4.681,6.793,88927.0,405.24,-4.0
3,1999-1-3,1999,1,3,6.644,-3.535,1.86,0.244,1.753,0.515,7.129,104190.0,413.07,-8.0
4,1999-1-4,1999,1,4,6.645,-3.082,1.953,2.664,1.73,2.866,6.963,101510.0,415.57,-8.0
5,1999-1-5,1999,1,5,6.448,-2.463,2.525,3.548,2.401,3.637,6.844,102930.0,419.52,-5.0
6,1999-1-6,1999,1,6,6.822,-1.931,0.697,5.574,0.765,5.589,6.787,91024.0,423.29,-4.0
7,1999-1-7,1999,1,7,6.077,-2.678,4.092,2.079,4.193,1.829,7.587,115620.0,424.88,-1.0
8,1999-1-8,1999,1,8,5.794,-0.893,4.123,0.441,4.134,0.051,7.818,122700.0,428.9,3.0
9,1999-1-9,1999,1,9,6.023,-1.898,4.759,-1.435,4.561,-1.966,7.647,116590.0,421.48,3.0
10,1999-1-10,1999,1,10,6.17,-0.633,5.254,-0.036,5.212,-0.67,7.428,102510.0,430.5,-2.0
11,1999-1-11,1999,1,11,6.186,0.531,4.106,3.011,4.417,2.517,6.821,101820.0,438.29,-8.0
12,1999-1-12,1999,1,12,5.606,0.403,1.041,3.125,1.352,3.024,6.87,109050.0,436.99,-7.0
13,1999-1-13,1999,1,13,5.692,-1.948,3.604,1.092,3.657,0.854,7.069,116610.0,423.15,-2.0
14,1999-1-14,1999,1,14,5.579,1.618,2.412,3.193,2.513,3.122,6.578,109280.0,442.38,2.0
15,1999-1-15,1999,1,15,5.679,1.537,3.183,2.111,3.165,2.181,6.562,92941.0,443.83,2.0
16,1999-1-16,1999,1,16,5.876,2.294,3.021,3.204,2.813,3.414,6.219,85705.0,446.85,0.0
17,1999-1-17,1999,1,17,5.609,0.391,4.676,1.072,4.526,1.595,6.687,88410.0,430.08,-2.0
18,1999-1-18,1999,1,18,5.58,-3.603,2.471,0.852,2.315,1.22,6.933,92751.0,401.24,-4.0
19,1999-1-19,1999,1,19,5.41,-0.714,3.286,1.242,2.952,1.9,6.737,94748.0,416.5,-7.0
20,1999-1-20,1999,1,20,5.698,0.381,4.87,1.905,4.284,3.008,6.472,84246.0,421.92,-4.0
21,1999-1-21,1999,1,21,5.664,-4.451,2.579,-0.584,2.639,0.109,7.126,88651.0,388.29,-4.0
22,1999-1-22,1999,1,22,5.925,-1.352,4.4,-0.034,4.236,1.187,6.944,83235.0,408.27,-3.0
23,1999-1-23,1999,1,23,6.08,0.653,5.011,0.331,4.722,1.715,6.741,77433.0,423.58,-6.0
24,1999-2-0,1999,2,0,5.9,-0.17,3.297,3.102,2.352,3.879,6.313,73722.0,413.38,-4.0
25,1999-2-1,1999,2,1,5.996,-0.208,4.569,2.05,3.925,3.087,6.385,77812.0,411.21,-2.0
26,1999-2-2,1999,2,2,5.59,-0.345,3.439,0.798,3.216,1.509,6.341,81716.0,411.78,-1.0
27,1999-2-3,1999,2,3,5.655,-2.869,3.491,-0.101,3.457,0.441,6.2,83805.0,394.45,-3.0
28,1999-2-4,1999,2,4,6.075,-2.717,3.749,-2.041,3.969,-1.638,6.218,73155.0,392.62,-5.0
29,1999-2-5,1999,2,5,5.96,0.205,4.431,-0.068,4.444,0.14,6.103,70968.0,413.05,-6.0
30,1999-2-6,1999,2,6,6.131,-0.082,5.694,0.616,5.693,0.58,5.457,62892.0,409.06,-4.0
31,1999-2-7,1999,2,7,6.237,-0.457,5.101,-1.574,5.031,-1.835,5.421,60487.0,405.64,-4.0
32,1999-2-8,1999,2,8,6.11,-1.252,5.189,0.957,5.257,0.51,5.117,62105.0,403.45,-5.0
33,1999-2-9,1999,2,9,6.074,-4.271,2.885,-2.806,2.57,-3.097,6.079,70605.0,389.11,-7.0
34,1999-2-10,1999,2,10,5.728,-4.377,1.519,-2.884,1.183,-3.037,6.029,77456.0,384.16,-7.0
